variable,N,MO,MP,MB,RMSE,R,NMB,NME,IOA
o3,16800.0,44.168,49.153,4.984,7.79,0.957,11.285,14.336,0.963
pm25,16800.0,12.133,10.43,-1.703,3.524,0.884,-14.04,22.835,0.922
no2,16800.0,19.788,19.81,0.021,3.944,0.906,0.107,15.86,0.949
